effective_date,decision,change_ppt,cash_rate_target
1990-01-23,Decrease,-0.5,17
1990-02-15,Decrease,-0.5,16.5
1990-03-07,No change,0,16.5
1990-04-04,Decrease,-1,15
1990-05-02,No change,0,15
1990-06-06,No change,0,15
1990-07-04,No change,0,15
1990-08-02,Decrease,-1,14
1990-09-05,No change,0,14
1990-10-15,Decrease,-1,13
1990-11-07,No change,0,13
1990-12-18,Decrease,-1,12
1991-02-06,No change,0,12
1991-03-06,No change,0,12
1991-04-04,Decrease,-0.5,11.5
1991-05-16,Decrease,-1,10.5
1991-06-14,No change,0,10.5
1991-07-03,No change,0,10.5
1991-07-31,No change,0,10.5
1991-09-03,Decrease,-1,9.5
1991-10-02,No change,0,9.5
1991-11-06,Decrease,-1,8.5
1991-12-04,No change,0,8.5
1992-01-08,Decrease,-1,7.5
1992-02-05,No change,0,7.5
1992-03-04,No change,0,7.5
1992-04-08,No change,0,7.5
1992-05-06,Decrease,-1,6.5
1992-06-03,No change,0,6.5
1992-07-08,Decrease,-0.75,5.75
1992-07-29,No change,0,5.75
1992-09-02,No change,0,5.75
1992-10-07,No change,0,5.75
1992-11-04,No change,0,5.75
1992-12-02,No change,0,5.75
1993-02-03,No change,0,5.75
1993-03-23,Decrease,-0.5,5.25
1993-04-07,No change,0,5.25
1993-05-05,No change,0,5.25
1993-06-02,No change,0,5.25
1993-07-07,No change,0,5.25
1993-07-30,Decrease,-0.5,4.75
1993-09-08,No change,0,4.75
1993-10-06,No change,0,4.75
1993-11-03,No change,0,4.75
1993-12-08,No change,0,4.75
1994-02-02,No change,0,4.75
1994-03-02,No change,0,4.75
1994-03-30,No change,0,4.75
1994-05-04,No change,0,4.75
1994-06-08,No change,0,4.75
1994-07-06,No change,0,4.75
1994-07-27,No change,0,4.75
1994-08-17,Increase,0.75,5.5
1994-09-07,No change,0,5.5
1994-10-24,Increase,1,6.5
1994-11-02,No change,0,6.5
1994-12-14,Increase,1,7.5
1995-02-08,No change,0,7.5
1995-03-08,No change,0,7.5
1995-04-05,No change,0,7.5
1995-05-03,No change,0,7.5
1995-06-07,No change,0,7.5
1995-07-05,No change,0,7.5
1995-07-26,No change,0,7.5
1995-09-06,No change,0,7.5
1995-10-04,No change,0,7.5
1995-11-08,No change,0,7.5
1995-12-06,No change,0,7.5
1996-02-07,No change,0,7.5
1996-03-06,No change,0,7.5
1996-04-03,No change,0,7.5
1996-05-08,No change,0,7.5
1996-06-05,No change,0,7.5
1996-07-03,No change,0,7.5
1996-07-31,Decrease,-0.5,7
1996-09-04,No change,0,7
1996-10-02,No change,0,7
1996-11-06,Decrease,-0.5,6.5
1996-12-11,Decrease,-0.5,6
1997-02-05,No change,0,6
1997-03-05,No change,0,6
1997-04-02,No change,0,6
1997-05-07,No change,0,6
1997-05-23,Decrease,-0.5,5.5
1997-06-04,No change,0,5.5
1997-07-02,No change,0,5.5
1997-07-30,Decrease,-0.5,5
1997-08-06,No change,0,5
1997-09-03,No change,0,5
1997-10-08,No change,0,5
1997-11-05,No change,0,5
1997-12-03,No change,0,5
1998-02-04,No change,0,5
1998-03-04,No change,0,5
1998-04-08,No change,0,5
1998-05-06,No change,0,5
1998-06-03,No change,0,5
1998-07-08,No change,0,5
1998-08-05,No change,0,5
1998-09-02,No change,0,5
1998-10-07,No change,0,5
1998-11-04,No change,0,5
1998-12-02,Decrease,-0.25,4.75
1999-02-03,No change,0,4.75
1999-03-03,No change,0,4.75
1999-04-07,No change,0,4.75
1999-05-05,No change,0,4.75
1999-06-02,No change,0,4.75
1999-07-07,No change,0,4.75
1999-08-04,No change,0,4.75
1999-09-08,No change,0,4.75
1999-10-06,No change,0,4.75
1999-11-03,Increase,0.25,5
1999-12-08,No change,0,5
2000-02-02,Increase,0.5,5.5
2000-03-08,No change,0,5.5
2000-04-05,Increase,0.25,5.75
2000-05-03,Increase,0.25,6
2000-06-07,No change,0,6
2000-07-05,No change,0,6
2000-08-02,Increase,0.25,6.25
2000-09-06,No change,0,6.25
2000-10-04,No change,0,6.25
2000-11-08,No change,0,6.25
2000-12-06,No change,0,6.25
2001-02-07,Decrease,-0.5,5.75
2001-03-07,Decrease,-0.25,5.5
2001-04-04,Decrease,-0.5,5
2001-05-02,No change,0,5
2001-06-06,No change,0,5
2001-07-04,No change,0,5
2001-08-08,No change,0,5
2001-09-05,Decrease,-0.25,4.75
2001-10-03,Decrease,-0.25,4.5
2001-11-07,No change,0,4.5
2001-12-05,Decrease,-0.25,4.25
2002-02-06,No change,0,4.25
2002-03-06,No change,0,4.25
2002-04-03,No change,0,4.25
2002-05-08,Increase,0.25,4.5
2002-06-05,Increase,0.25,4.75
2002-07-03,No change,0,4.75
2002-08-07,No change,0,4.75
2002-09-04,No change,0,4.75
2002-10-02,No change,0,4.75
