Group,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,Weighted average of eight capital cities
All groups,4,3.2,4,4.2,3.7,4.2,3.9,3.8,3.8
Food & non-alcoholic beverages,3.3,3.2,3.3,3.1,3.5,3.5,3.1,2.9,3.3
Alcohol & tobacco,3.8,4.2,4.9,5.3,4.9,6.4,4.9,4.2,4.4
Clothing & footwear,6.7,3.3,5,2.9,5.4,1.4,4,4,4.9
Housing,7.5,5.7,7.7,8,5.7,9.8,6.9,5.9,6.8
"Furnishings, household equipment and services",1.6,0.4,2.3,2.8,2.1,2,2.3,2.9,1.6
Health,4.6,3.2,3.4,4.3,3,3.2,3.1,2.9,3.7
Transport,-0.2,-0.7,1.5,0.5,0.4,-0.1,-0.2,2.6,0.1
Communication,2.3,2.2,2.2,2.2,2.1,2.1,2.4,2.5,2.2
Recreation & culture,3.2,3.4,2.4,3.1,4.5,3.8,5.9,3.4,3.3
Education,4.6,4.8,4.8,4.2,5.3,3.8,3.4,5.9,4.8
Insurance & financial services,3.6,3.1,2.7,3.7,2.9,3.8,3.4,2.3,3.2
