,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Australia,
Employed people,"4,567,400","3,814,300","3,040,300","989,500","1,694,600","282,200","14,823,300",NA
Employed people - monthly change,0.9%,0.4%,-0.1%,0.2%,1.0%,1.2%,0.5%,NA
Employment to population ratio,63.6%,64.2%,64.1%,61.5%,66.2%,57.7%,64.0%,NA
Employment to population ratio - monthly change,0.5 pts,0.2 pts,-0.2 pts,0.1 pts,0.6 pts,0.6 pts,0.3 pts,NA
Unemployment rate,4.0%,5.1%,4.3%,4.3%,4.2%,4.9%,4.4%,NA
Unemployment rate - monthly change,-0.3 pts,0.2 pts,0.6 pts,0.1 pts,-0.3 pts,-0.4 pts,0.1 pts,NA
Underemployment rate,6.3%,7.3%,6.5%,6.7%,5.9%,6.8%,6.5%,NA
Underemployment rate - monthly change,0.2 pts,0.3 pts,0.4 pts,0.2 pts,0.5 pts,-0.3 pts,0.2 pts,NA
Participation rate,66.2%,67.6%,67.0%,64.3%,69.1%,60.6%,67.0%,NA
Participation rate - monthly change,0.3 pts,0.3 pts,0.2 pts,0.1 pts,0.3 pts,0.4 pts,0.3 pts,NA
